UserID,FirstName,LastName,Email,Department,Role,Plan,Region,SignupDate,Status
1,Nina,Johnson,cuevasmadison@example.net,Operations,Analyst,Enterprise,South,2025-11-16,Active
2,Lindsey,Perez,michaellara@example.org,Operations,Individual Contributor,Free,East,2025-10-16,Active
3,Christine,Curtis,hayesmonica@example.net,Finance,Analyst,Pro,West,2025-07-17,Active
4,Timothy,Gay,matthew18@example.net,Marketing,Analyst,Free,East,2025-05-30,Churned
5,Carlos,Chapman,kristin21@example.com,Operations,Individual Contributor,Free,West,2025-07-20,Active
6,Jillian,Hughes,megan34@example.com,Data Science,Senior Analyst,Free,North,2025-07-11,Active
7,Barbara,Harrison,christopher56@example.com,Finance,VP,Enterprise,West,2025-08-02,Active
8,Stephanie,Hodges,thomas90@example.com,Operations,Manager,Free,Central,2025-09-20,Active
9,Stanley,Rodriguez,jennifer49@example.com,Finance,Individual Contributor,Pro,North,2025-09-27,Active
10,Amanda,Gould,bob39@example.net,Operations,Senior Analyst,Pro,Central,2025-08-05,Churned
11,David,Torres,katierodgers@example.com,Engineering,VP,Pro,Central,2025-05-02,Active
12,Roger,Murray,cooperann@example.org,Marketing,Individual Contributor,Free,North,2025-11-27,Churned
13,Lydia,Ruiz,john84@example.com,Data Science,Senior Analyst,Enterprise,East,2025-08-10,Active
14,Ryan,Mcclain,evan11@example.com,Data Science,Individual Contributor,Free,East,2025-05-28,Active
15,Zachary,Parker,sandra31@example.com,Finance,Analyst,Enterprise,Central,2025-05-17,Active
16,Megan,Vaughn,taylornicholas@example.net,Marketing,Senior Analyst,Pro,Central,2025-06-09,Active
17,Shirley,Miller,bwise@example.org,Operations,Analyst,Free,West,2025-04-30,Active
18,Mark,Galvan,rodriguezchristine@example.com,Marketing,Analyst,Free,East,2025-03-25,Active
19,Jamie,Gallagher,lauren38@example.net,Data Science,Analyst,Pro,Central,2025-05-27,Churned
20,Jerome,Garcia,angela87@example.net,Operations,Senior Analyst,Free,East,2025-08-29,Active
21,Andrew,Taylor,shernandez@example.com,Finance,Senior Analyst,Free,East,2025-06-27,Active
22,Jeremy,Rocha,barnettmichael@example.net,Operations,Senior Analyst,Pro,West,2025-06-18,Churned
23,Kimberly,Hill,garzabrandy@example.org,Product,Manager,Pro,Central,2025-02-07,Churned
24,Seth,Rogers,bruce54@example.com,Product,Senior Analyst,Pro,Central,2025-09-17,Active
25,Amanda,Richardson,jeffreymonroe@example.com,Operations,Manager,Enterprise,South,2025-10-18,Active
26,Emily,Martinez,cameron97@example.com,Marketing,Individual Contributor,Free,Central,2025-01-27,Active
27,Jimmy,Walker,wendynavarro@example.com,Data Science,Analyst,Free,South,2025-05-10,Churned
28,Susan,Brooks,austin26@example.net,Marketing,Analyst,Free,Central,2025-08-22,Churned
29,Abigail,Bates,lfloyd@example.org,HR,Analyst,Free,South,2025-02-06,Churned
30,Clayton,Rodriguez,mendozawendy@example.org,Operations,Senior Analyst,Free,Central,2025-04-19,Active
31,Shirley,Patrick,megan00@example.org,Operations,Individual Contributor,Free,Central,2025-04-30,Active
32,Yvonne,Hoffman,angela64@example.net,Data Science,Analyst,Free,West,2025-05-13,Churned
33,Emily,Williams,osanders@example.net,Finance,Individual Contributor,Enterprise,North,2025-10-10,Churned
34,Brett,Alvarez,jeffreyhamilton@example.org,Finance,Senior Analyst,Free,West,2025-06-10,Active
35,Chad,Ayala,dgonzalez@example.net,Marketing,Individual Contributor,Pro,North,2025-10-11,Churned
36,Edward,Hernandez,ubarrett@example.net,Finance,Senior Analyst,Free,Central,2025-11-07,Active
37,John,Rhodes,kturner@example.net,Marketing,Director,Enterprise,North,2025-09-13,Suspended
38,Alexandra,Cruz,salazarjoseph@example.org,Marketing,Analyst,Free,West,2025-02-17,Active
39,Jillian,Davidson,bmercer@example.com,Data Science,Analyst,Free,South,2025-04-26,Suspended
40,Amber,Goodman,craig41@example.net,Marketing,Manager,Pro,South,2025-08-04,Active
41,Kevin,Griffin,jimmy12@example.org,Operations,Analyst,Free,South,2025-10-11,Active
42,Joseph,Christensen,jonescrystal@example.com,Marketing,Individual Contributor,Free,West,2025-08-26,Churned
43,Danielle,Thomas,ybrewer@example.net,Finance,Manager,Pro,South,2025-05-01,Churned
44,Daniel,Lewis,wadejoshua@example.com,Engineering,Manager,Free,North,2025-09-14,Active
45,Danielle,Nelson,xallen@example.org,HR,Senior Analyst,Pro,South,2025-10-24,Active
46,Joshua,Valencia,vanessa88@example.com,HR,Individual Contributor,Pro,South,2025-08-21,Suspended
47,Kenneth,Tate,alicedawson@example.org,HR,Analyst,Pro,South,2025-09-06,Active
48,Larry,Little,susanblake@example.com,Operations,Senior Analyst,Free,Central,2025-09-03,Churned
49,Sherry,Bennett,ywilliams@example.com,Operations,Manager,Free,Central,2025-03-15,Active
50,Julie,Smith,davismason@example.org,Data Science,Senior Analyst,Free,North,2025-05-03,Active
51,Thomas,Murphy,dmartin@example.com,Finance,VP,Free,East,2025-06-13,Churned
52,Tiffany,Bell,victoriageorge@example.net,Data Science,Analyst,Enterprise,West,2025-09-17,Suspended
53,Alexandra,Barr,smelendez@example.org,Finance,Individual Contributor,Free,West,2025-10-14,Active
54,Peggy,Smith,jessestanton@example.org,Finance,Senior Analyst,Free,South,2025-06-24,Churned
55,Hailey,Rodriguez,tinawolfe@example.org,Operations,Analyst,Enterprise,South,2025-07-20,Active
56,Tanner,Castro,emoss@example.net,Finance,Senior Analyst,Enterprise,West,2025-05-30,Active
57,Diana,Johnson,cheryl50@example.net,HR,Analyst,Free,Central,2025-04-27,Active
58,Matthew,Martinez,frangel@example.org,Marketing,Analyst,Free,East,2025-10-17,Active
59,Andrea,Smith,elizabeth54@example.net,Engineering,Analyst,Free,Central,2025-07-16,Churned
60,Joshua,Melton,michaelhernandez@example.org,Marketing,Analyst,Pro,South,2025-05-16,Active
61,Daniel,Nguyen,mitchellmatthew@example.org,Finance,Senior Analyst,Free,East,2025-09-24,Active
62,Emily,Hunter,nbell@example.com,Marketing,VP,Free,West,2025-09-04,Suspended
63,Angela,Ford,justinrodriguez@example.net,Marketing,Analyst,Pro,South,2025-05-16,Active
64,Victoria,Martin,fleon@example.net,Operations,Analyst,Pro,Central,2025-09-06,Churned
65,Kathryn,Franklin,hcarpenter@example.org,Data Science,Analyst,Free,South,2025-07-02,Active
66,Matthew,Davis,whiteheadtimothy@example.net,Marketing,Senior Analyst,Pro,East,2025-06-04,Suspended
67,Anna,White,ashleygomez@example.net,Product,Analyst,Pro,East,2025-10-15,Active
68,Denise,Andrews,ybennett@example.com,Data Science,Senior Analyst,Free,Central,2025-02-13,Active
69,Kyle,Wilson,brittany81@example.com,Data Science,Manager,Free,West,2025-08-09,Churned
70,Lisa,Fernandez,kyle87@example.net,Marketing,Individual Contributor,Pro,West,2025-03-27,Active
71,Michelle,Stevenson,doyletina@example.net,Engineering,Analyst,Free,Central,2025-02-16,Active
72,Michael,Thornton,aarondunn@example.org,Engineering,Individual Contributor,Free,West,2025-05-22,Active
73,Kristin,Rivera,pamela68@example.com,Data Science,Analyst,Free,North,2025-11-02,Churned
74,Elizabeth,Mejia,hcarr@example.com,Engineering,Manager,Pro,South,2025-10-02,Active
75,Frank,Washington,nmorris@example.com,Finance,Manager,Pro,Central,2025-07-27,Churned
76,Jennifer,Zimmerman,sandracarr@example.com,Operations,Individual Contributor,Pro,West,2025-05-28,Active
77,Janice,Aguilar,christine17@example.com,Finance,Analyst,Pro,North,2025-08-25,Active
78,Sarah,Fields,zmarsh@example.net,Engineering,Senior Analyst,Free,South,2025-08-27,Active
79,Joshua,Baker,farleycaroline@example.com,Operations,Analyst,Free,West,2025-08-08,Active
80,Robert,Clarke,isaiah75@example.net,Finance,Analyst,Free,North,2025-08-23,Churned
81,Richard,Wong,jjenkins@example.com,Data Science,Analyst,Free,South,2025-04-04,Active
82,Nicole,Sanders,katherine27@example.org,Marketing,Senior Analyst,Free,North,2025-10-24,Churned
83,Charles,Harrison,annettewhite@example.org,Finance,Analyst,Free,Central,2025-10-16,Churned
84,Brittney,George,brownmaria@example.com,Data Science,Analyst,Free,Central,2025-10-02,Active
85,Zachary,Cobb,tiffanynorris@example.com,Engineering,Individual Contributor,Pro,South,2025-09-17,Active
86,Erica,Hayes,pittmanlisa@example.com,Operations,Analyst,Free,East,2025-06-19,Churned
87,Olivia,Richard,hortonkayla@example.org,Engineering,Manager,Pro,Central,2025-09-05,Churned
88,Jonathan,Marshall,gloriaturner@example.com,Data Science,Manager,Free,South,2025-10-08,Churned
89,Wyatt,Torres,georgeboyd@example.net,Finance,Director,Free,North,2025-08-14,Active
90,Eric,Figueroa,pcrosby@example.net,Engineering,Individual Contributor,Free,Central,2025-06-13,Active
91,Denise,Garcia,joseph98@example.net,Operations,Individual Contributor,Enterprise,Central,2025-05-19,Active
92,Cindy,Garcia,halejames@example.net,Operations,Director,Free,East,2025-05-18,Active
93,Diana,Castaneda,macdonaldjoel@example.org,Finance,Director,Free,West,2025-11-23,Churned
94,Anita,Ritter,uhunt@example.net,Operations,Analyst,Enterprise,South,2025-10-28,Active
95,Charles,Noble,jscott@example.net,Operations,Senior Analyst,Pro,North,2025-09-27,Churned
96,Richard,Jones,chad34@example.net,Operations,VP,Pro,West,2025-09-04,Suspended
97,James,Pierce,brownkeith@example.org,Data Science,Individual Contributor,Free,West,2025-10-13,Churned
98,Jacqueline,Wolfe,zunigatammy@example.org,Data Science,Senior Analyst,Free,East,2025-09-15,Active
99,Ricky,Vasquez,kbrown@example.com,Operations,Individual Contributor,Pro,South,2025-09-18,Churned
100,Nicholas,Fischer,tracythornton@example.org,Marketing,Senior Analyst,Free,West,2025-11-06,Active
101,Tina,Rogers,edward58@example.net,Engineering,Analyst,Free,Central,2025-08-14,Churned
102,Kenneth,Moses,robertajones@example.com,Operations,Manager,Pro,North,2025-04-29,Churned
103,Darrell,West,jonesalyssa@example.net,Finance,Manager,Enterprise,Central,2025-09-01,Churned
104,Danielle,Lamb,kellyhughes@example.com,Marketing,Director,Enterprise,North,2025-06-30,Active
105,Tony,Miller,lucasdaniel@example.org,Marketing,Analyst,Free,West,2025-10-06,Active
106,Joseph,Foster,icummings@example.net,Finance,Individual Contributor,Free,West,2025-07-19,Active
107,Andrea,Ortiz,abbottmargaret@example.com,Engineering,Senior Analyst,Free,East,2025-07-19,Suspended
108,Judy,Marquez,juliesimon@example.net,Finance,Senior Analyst,Free,Central,2025-07-03,Active
109,Katie,Osborne,grantjulie@example.org,Operations,Senior Analyst,Free,South,2025-10-01,Active
110,Samuel,Brown,itaylor@example.net,Marketing,Analyst,Free,East,2025-01-28,Churned
111,Tracie,Graham,justinthompson@example.net,Product,Analyst,Free,North,2025-11-05,Active
112,Andrea,Barry,fhunt@example.com,Data Science,Senior Analyst,Free,West,2025-05-05,Active
113,James,Bolton,michaelanderson@example.net,Marketing,Manager,Pro,Central,2025-09-15,Active
114,Patricia,Rice,vanderson@example.org,Finance,Manager,Free,East,2025-06-30,Active
115,Jennifer,Davis,howard76@example.org,Marketing,Analyst,Free,South,2025-06-03,Active
116,Nathaniel,Bowers,sandra08@example.org,Marketing,Individual Contributor,Free,East,2025-10-15,Active
117,Theodore,Acosta,kellyadams@example.org,Finance,Manager,Free,West,2025-08-19,Active
118,Debbie,Lyons,nicole39@example.net,Finance,Analyst,Pro,West,2025-08-06,Active
119,Mary,Castaneda,becky92@example.net,Finance,Individual Contributor,Enterprise,East,2025-02-23,Active
120,Scott,Larson,lisawalker@example.net,Finance,Individual Contributor,Enterprise,South,2025-10-18,Active
121,Kevin,Cunningham,nmayer@example.org,Operations,Director,Enterprise,South,2025-08-19,Active
122,Daniel,Powell,kevinsmith@example.org,Operations,Analyst,Free,East,2025-07-16,Active
123,Jonathan,Torres,edwardsaaron@example.net,HR,Analyst,Free,South,2025-09-06,Active
124,Paul,Simon,veronicawu@example.net,Marketing,Analyst,Enterprise,East,2025-04-19,Active
125,Eric,Mendez,washingtonbrittany@example.com,Product,Manager,Pro,South,2025-08-26,Active
126,Christian,Moore,lintiffany@example.com,Engineering,Senior Analyst,Pro,South,2025-08-06,Churned
127,Holly,Wilson,tyler61@example.net,Marketing,Individual Contributor,Enterprise,West,2025-11-15,Active
128,Adriana,Kane,lindasavage@example.net,Marketing,VP,Pro,North,2025-10-23,Active
129,Gabriel,West,hernandezmichelle@example.org,Operations,Analyst,Pro,West,2025-04-30,Active
130,Edward,Kennedy,nsmith@example.com,HR,Analyst,Free,West,2025-10-01,Active
131,Emma,Wood,martinkyle@example.org,Operations,Analyst,Free,North,2025-10-02,Active
132,Samantha,Douglas,joshua17@example.com,Finance,Individual Contributor,Pro,West,2025-08-21,Active
133,David,Gordon,stevenwilson@example.org,Operations,Individual Contributor,Pro,North,2025-10-22,Active
134,Katherine,Fisher,leachstephen@example.org,Engineering,Analyst,Free,South,2025-07-26,Active
135,Steven,Torres,ldiaz@example.org,Data Science,Analyst,Pro,East,2025-02-09,Active
136,Susan,Hayden,gardnertammy@example.org,Finance,Senior Analyst,Enterprise,East,2025-04-06,Active
137,Guy,Park,tuckerguy@example.net,HR,Senior Analyst,Pro,North,2025-06-25,Active
138,Eric,Patterson,josephreed@example.net,Marketing,Individual Contributor,Free,East,2025-10-30,Suspended
139,Christy,Martinez,leon09@example.com,Finance,Manager,Free,East,2025-10-23,Active
140,Shannon,Klein,colin45@example.com,Finance,Individual Contributor,Free,West,2025-09-23,Churned
141,Jeremy,Pierce,yjones@example.org,Operations,Analyst,Free,South,2025-11-03,Churned
142,Amanda,Ellis,mooredanielle@example.org,Data Science,Senior Analyst,Free,West,2025-09-01,Active
143,Kyle,Brewer,joshuasmith@example.org,Data Science,Analyst,Free,North,2025-02-11,Active
144,Heather,Barton,keithgarcia@example.net,Finance,Senior Analyst,Pro,South,2025-09-25,Active
145,Brandon,Reyes,patrickmcpherson@example.net,Engineering,Manager,Free,Central,2025-06-09,Churned
146,Eric,Wright,bruce89@example.net,Finance,Manager,Pro,North,2025-11-08,Churned
147,Dawn,Juarez,annsimmons@example.net,Data Science,Individual Contributor,Free,West,2025-07-27,Churned
148,Karen,Smith,jennifer98@example.net,Finance,Manager,Enterprise,West,2025-06-21,Active
149,Rebecca,Potts,jay61@example.org,Operations,Analyst,Pro,West,2025-05-04,Active
150,Kevin,Johnson,villanuevalarry@example.org,Engineering,Analyst,Pro,East,2025-11-14,Churned
151,Lauren,Bradley,briannguyen@example.net,Operations,Senior Analyst,Free,South,2025-10-18,Churned
152,Barbara,Pacheco,scott30@example.org,Operations,Manager,Pro,South,2025-07-26,Active
153,Victor,Wu,christopher18@example.org,Finance,Senior Analyst,Free,North,2025-11-19,Active
154,Melissa,Benson,joseph43@example.com,Operations,Analyst,Enterprise,North,2025-09-27,Active
155,Bradley,Brown,ilewis@example.com,Operations,Analyst,Free,West,2025-06-07,Active
156,Troy,Malone,sandra63@example.net,Operations,Individual Contributor,Free,East,2025-03-06,Active
157,Kaitlyn,Johnson,normankristin@example.net,Data Science,Senior Analyst,Free,South,2025-06-21,Churned
158,Donna,Johnston,joshua91@example.net,HR,Analyst,Free,South,2025-02-19,Active
159,Ellen,Garcia,zsimmons@example.com,Operations,Analyst,Free,North,2025-08-10,Churned
160,Bradley,Lowe,jamiefischer@example.net,Engineering,Individual Contributor,Free,North,2025-02-09,Churned
161,Jessica,Higgins,markshenry@example.com,Marketing,Senior Analyst,Free,Central,2025-08-31,Active
162,Rachael,Wilkerson,perezmark@example.net,Operations,Senior Analyst,Free,Central,2025-06-23,Churned
163,Robert,Davis,richard93@example.com,Data Science,Manager,Pro,East,2025-11-30,Active
164,Jason,Johnson,dixonluis@example.com,Data Science,Analyst,Pro,West,2025-09-25,Active
165,Peter,Allen,knappjessica@example.org,Marketing,Senior Analyst,Free,North,2025-06-25,Suspended
166,Tyler,Garcia,fzimmerman@example.org,Marketing,Director,Free,North,2025-09-18,Active
167,Robert,Walker,katherinestafford@example.net,Engineering,Senior Analyst,Free,South,2025-06-22,Active
168,Mary,Brock,swilson@example.net,Marketing,Senior Analyst,Enterprise,West,2025-09-04,Churned
169,Brian,Oliver,zwheeler@example.org,Data Science,VP,Pro,North,2025-03-06,Churned
170,Carl,Stephens,brucedavid@example.net,Operations,Analyst,Enterprise,South,2025-11-09,Active
171,Andrea,Newman,aclark@example.com,Operations,Senior Analyst,Free,South,2025-11-01,Active
172,James,Wall,rayamanda@example.com,Product,Individual Contributor,Pro,West,2025-04-14,Churned
173,Jeremy,Horn,santiagobrandon@example.com,Finance,Analyst,Pro,East,2025-08-07,Churned
174,Christopher,Brooks,isabella04@example.com,Product,Senior Analyst,Free,North,2025-11-04,Suspended
175,Joshua,Mitchell,pmatthews@example.org,Product,Individual Contributor,Pro,East,2025-08-08,Active
176,Ronald,Watson,mario40@example.com,Marketing,Analyst,Free,East,2025-07-21,Active
177,Virginia,Byrd,dillonmueller@example.com,Marketing,Individual Contributor,Pro,West,2025-06-11,Churned
178,Laurie,Jones,gatesjoshua@example.net,Finance,Analyst,Free,East,2025-07-06,Active
179,Kari,Lambert,kgreen@example.net,Finance,Individual Contributor,Free,East,2025-08-21,Churned
180,Krystal,Maxwell,kellyhernandez@example.org,Operations,Senior Analyst,Pro,North,2025-09-23,Active
181,Christopher,Ramirez,christianho@example.org,HR,Analyst,Free,West,2025-05-20,Active
182,Jeanne,Miller,nscott@example.net,Operations,Senior Analyst,Free,North,2025-04-11,Active
183,Joseph,Jordan,michael09@example.net,Finance,Senior Analyst,Free,Central,2025-06-30,Churned
184,Luke,Reid,vanessafitzgerald@example.com,Operations,Senior Analyst,Pro,Central,2025-08-18,Active
185,Charles,Baxter,andrew02@example.net,Engineering,Senior Analyst,Free,East,2025-06-01,Active
186,Andrew,Banks,wattsmiguel@example.org,Product,Manager,Free,South,2025-04-23,Active
187,Andrew,Cox,mccormicksteven@example.com,Operations,Analyst,Pro,Central,2025-11-26,Active
188,Maurice,Taylor,ricky18@example.org,Product,Senior Analyst,Pro,Central,2025-06-12,Active
189,Jennifer,Wang,lori52@example.org,Finance,Analyst,Pro,West,2025-05-07,Active
190,Emily,Chandler,rose30@example.org,Finance,Individual Contributor,Free,Central,2025-04-14,Churned
191,Megan,Gibson,msmith@example.com,Marketing,Senior Analyst,Enterprise,West,2025-12-02,Churned
192,Virginia,Gutierrez,uhuang@example.org,Marketing,Analyst,Free,North,2025-09-15,Churned
193,Christopher,Stone,dfitzpatrick@example.com,Data Science,Manager,Free,Central,2025-11-20,Active
194,David,Armstrong,chelsearoman@example.net,Data Science,Analyst,Free,East,2025-09-08,Active
195,Richard,Walsh,sdavis@example.com,Finance,Analyst,Free,South,2025-11-19,Active
196,Lauren,Murphy,danielchavez@example.org,Engineering,VP,Free,Central,2025-11-13,Churned
197,Steven,Smith,oroy@example.com,HR,Individual Contributor,Free,East,2025-09-19,Churned
198,Katrina,Schneider,vbates@example.com,Data Science,Senior Analyst,Free,East,2025-02-26,Active
199,Wendy,Pennington,xwilliams@example.org,Marketing,Senior Analyst,Free,South,2025-11-22,Churned
200,Daniel,Ramsey,ejones@example.com,Marketing,Analyst,Free,West,2025-12-16,Active
201,Kayla,Burns,lance43@example.net,Data Science,VP,Free,East,2025-05-03,Churned
202,Jasmine,Woods,iconley@example.org,Finance,Analyst,Free,West,2025-04-02,Churned
203,Jennifer,Andersen,buckjohn@example.org,Operations,Senior Analyst,Free,West,2025-04-02,Churned
204,Megan,Myers,johnlopez@example.org,Marketing,Manager,Pro,South,2025-07-19,Active
205,Charles,Pham,jweeks@example.com,Engineering,Analyst,Free,West,2025-10-21,Active
206,Morgan,Jenkins,carrilloemily@example.net,Marketing,Analyst,Enterprise,South,2025-06-08,Active
207,Jennifer,Rivers,ellen11@example.org,Product,Senior Analyst,Free,West,2025-07-11,Churned
208,Dennis,Khan,taragibson@example.org,Finance,Analyst,Pro,West,2025-11-20,Active
209,Brandon,Marshall,rodriguezdanielle@example.com,Product,Individual Contributor,Free,South,2025-03-31,Suspended
210,Kevin,Sanchez,brian80@example.com,Operations,Analyst,Free,North,2025-11-16,Active
211,Angela,Walker,ashleynoble@example.net,Marketing,Senior Analyst,Free,South,2025-11-12,Churned
212,Joshua,Williams,thorntonlisa@example.com,HR,Director,Pro,West,2025-11-25,Active
213,Valerie,Farmer,rtorres@example.net,Operations,Senior Analyst,Enterprise,West,2025-06-13,Active
214,Wesley,Jones,maryjones@example.com,Finance,Individual Contributor,Pro,West,2025-11-19,Churned
215,Michael,Sellers,jessica14@example.org,Data Science,Senior Analyst,Free,Central,2025-12-11,Active
216,Patrick,Cohen,xrogers@example.net,Operations,Senior Analyst,Pro,North,2025-08-29,Active
217,Brandi,Martin,riley55@example.net,Finance,Analyst,Enterprise,East,2025-05-15,Active
218,Susan,Richardson,knightdonna@example.org,Operations,Individual Contributor,Pro,Central,2025-10-21,Active
219,Tracy,Castro,michaelhanson@example.net,Engineering,Director,Free,East,2025-07-19,Churned
220,Marissa,Lopez,huynhelizabeth@example.org,Data Science,Manager,Pro,North,2025-09-29,Suspended
221,Jeffrey,Wagner,joshuamiranda@example.net,Operations,Senior Analyst,Free,South,2025-10-28,Churned
222,Sierra,Anderson,scottpierce@example.com,Product,Analyst,Free,West,2025-08-11,Active
223,Katherine,Taylor,garymoore@example.org,HR,Analyst,Free,West,2025-02-14,Active
224,Nicholas,Ramirez,michael83@example.com,Data Science,VP,Free,North,2025-10-21,Suspended
225,Rebecca,Lopez,byrdmichael@example.net,Data Science,Individual Contributor,Free,East,2025-11-03,Churned
